subject,category,run,area,hem,powerband,value,relative
0,P,1,Insula,L,1,8757,1
0,P,2,Insula,L,1,14302,1.633187311
0,P,3,Insula,L,1,17765,2.0287274072
0,P,1,Insula,L,2,4106,1
0,P,2,Insula,L,2,5222,1.2717386894
0,P,3,Insula,L,2,8407,2.0473421544
0,P,1,PCG,L,1,20863,1
0,P,2,PCG,L,1,25501,1.2223148412
0,P,3,PCG,L,1,30938,1.4829145853
0,P,1,PCG,L,2,2534,1
0,P,2,PCG,L,2,4919,1.9407086569
0,P,3,PCG,L,2,10483,4.1361858117
0,P,1,SMG,L,1,5430,1
0,P,2,SMG,L,1,9938,1.8303051719
0,P,3,SMG,L,1,8614,1.5865413557
0,P,1,SMG,L,2,1308,1
0,P,2,SMG,L,2,1874,1.432663972
0,P,3,SMG,L,2,2941,2.2481553888
0,P,1,IPL,L,1,8920,1
0,P,2,IPL,L,1,12037,1.349504269
0,P,3,IPL,L,1,11220,1.2578670413
0,P,1,IPL,L,2,1622,1
0,P,2,IPL,L,2,2949,1.8184774325
0,P,3,IPL,L,2,5825,3.5914033798
1,C,1,Insula,L,1,8748,1
1,C,2,Insula,L,1,14268,1.630938002
1,C,3,Insula,L,1,21954,2.5095324201
1,C,1,Insula,L,2,7519,1
1,C,2,Insula,L,2,16569,2.2035269718
1,C,3,Insula,L,2,18662,2.4818833766
1,C,1,PCG,L,1,6586,1
1,C,2,PCG,L,1,12043,1.828627293
1,C,3,PCG,L,1,16966,2.5761274213
1,C,1,PCG,L,2,3453,1
1,C,2,PCG,L,2,13341,3.8639950715
1,C,3,PCG,L,2,14276,4.1346929152
1,C,1,SMG,L,1,6781,1
1,C,2,SMG,L,1,8869,1.3079925788
1,C,3,SMG,L,1,15109,2.2282923167
1,C,1,SMG,L,2,2666,1
1,C,2,SMG,L,2,12816,4.8063204571
1,C,3,SMG,L,2,12758,4.7847925321
1,C,1,IPL,L,1,8870,1
1,C,2,IPL,L,1,14045,1.583328063
1,C,3,IPL,L,1,22598,2.5475912425
1,C,1,IPL,L,2,3333,1
1,C,2,IPL,L,2,16052,4.8157252085
1,C,3,IPL,L,2,16424,4.927140505
2,P,1,Insula,L,1,35695,1
2,P,2,Insula,L,1,40051,1.1220198938
2,P,3,Insula,L,1,18764,0.5256629028
2,P,1,Insula,L,2,23639,1
2,P,2,Insula,L,2,38849,1.6434533077
2,P,3,Insula,L,2,15518,0.6564735214
2,P,1,PCG,L,1,59013,1
2,P,2,PCG,L,1,54498,0.9235042053
2,P,3,PCG,L,1,27984,0.4742052499
2,P,1,PCG,L,2,11430,1
2,P,2,PCG,L,2,35031,3.0648174776
2,P,3,PCG,L,2,7723,0.6756975452
2,P,1,SMG,L,1,27154,1
2,P,2,SMG,L,1,29828,1.0984596276
2,P,3,SMG,L,1,16428,0.604993706
2,P,1,SMG,L,2,5340,1
2,P,2,SMG,L,2,26186,4.9036495789
2,P,3,SMG,L,2,3591,0.6725413724
2,P,1,IPL,L,1,20620,1
2,P,2,IPL,L,1,26218,1.271449877
2,P,3,IPL,L,1,13284,0.6442285715
2,P,1,IPL,L,2,9828,1
2,P,2,IPL,L,2,39342,4.0031515647
2,P,3,IPL,L,2,6124,0.6231271174
